dataset_name,oversampler_name,n_neighbors,oversampling_option,mean,std
car_eval_34,BorderlineSMOTE,5,BASIC,0.746097224951389,0.19869413446915324
car_eval_34,BorderlineSMOTE,7,ADVANCED,0.7901201714383334,0.18205291047831135
car_eval_34,BorderlineSMOTE,7,BASIC,0.7624069302341667,0.18739979584590472
car_eval_34,SMOTE,3,ADVANCED,0.7986994975901852,0.18924907346534275
car_eval_34,SMOTE,3,BASIC,0.76177025339,0.1804003264703906
car_eval_34,SMOTE,5,ADVANCED,0.7991245936350001,0.18717223123589083
car_eval_34,SMOTE,5,BASIC,0.7738065792974074,0.18577638812583938
car_eval_34,SMOTE,7,ADVANCED,0.8012989143684259,0.18281585131630726
car_eval_34,SMOTE,7,BASIC,0.7730599555956482,0.19046003145978643
car_eval_4,ADASYN,3,ADVANCED,0.8214188050064815,0.2168182879777996
car_eval_4,ADASYN,3,BASIC,0.7920415275644445,0.2131700722935041
car_eval_4,ADASYN,5,ADVANCED,0.8236376327864815,0.22060610379201492
car_eval_4,ADASYN,5,BASIC,0.791617315715,0.2162195741035032
car_eval_4,ADASYN,7,ADVANCED,0.8257095077179629,0.21989096784971032
car_eval_4,ADASYN,7,BASIC,0.7859371922032408,0.21573546009258412
car_eval_4,BorderlineSMOTE,3,ADVANCED,0.8210539437078703,0.2228648469945965
car_eval_4,BorderlineSMOTE,3,BASIC,0.7841811264617593,0.21521639847398433
car_eval_4,BorderlineSMOTE,5,ADVANCED,0.8255416252464816,0.22095364778934087
car_eval_4,BorderlineSMOTE,5,BASIC,0.7912498240540741,0.21514031775119546
car_eval_4,BorderlineSMOTE,7,ADVANCED,0.8269731375517593,0.2196851521827256
car_eval_4,BorderlineSMOTE,7,BASIC,0.7949245786129999,0.18680464084247456
car_eval_4,SMOTE,3,ADVANCED,0.823905197723426,0.21982935951291124
car_eval_4,SMOTE,3,BASIC,0.7902850141499074,0.21715676588865496
car_eval_4,SMOTE,5,ADVANCED,0.8274319736937037,0.21715314040063924
car_eval_4,SMOTE,5,BASIC,0.798689499765,0.21129167840945712
car_eval_4,SMOTE,7,ADVANCED,0.8325091755475,0.2123592540743653
car_eval_4,SMOTE,7,BASIC,0.8014846291552777,0.21300422205881303
coil_2000,ADASYN,3,ADVANCED,0.1935285937212963,0.06530329826762438
coil_2000,ADASYN,3,BASIC,0.20499123652333334,0.05533552673520563
coil_2000,ADASYN,5,ADVANCED,0.1947236574065741,0.06502475789471816
coil_2000,ADASYN,5,BASIC,0.19936023676416667,0.05578570722062784
coil_2000,ADASYN,7,ADVANCED,0.19376720259342592,0.06761456957780419
coil_2000,ADASYN,7,BASIC,0.20701065835583335,0.056583623705830095
coil_2000,BorderlineSMOTE,3,ADVANCED,0.19489241884787037,0.06340293700300129
coil_2000,BorderlineSMOTE,3,BASIC,0.20192871074342594,0.05080437595016964
coil_2000,BorderlineSMOTE,5,ADVANCED,0.191882983875,0.06549678310659177
coil_2000,BorderlineSMOTE,5,BASIC,0.20710244065509262,0.04941929326358027
coil_2000,BorderlineSMOTE,7,ADVANCED,0.19167980719962965,0.06577212860909452
coil_2000,BorderlineSMOTE,7,BASIC,0.20306882432787038,0.05089248673316317
coil_2000,SMOTE,3,ADVANCED,0.1948501940600926,0.06348322295940223
coil_2000,SMOTE,3,BASIC,0.19731768621842594,0.05833455202093364
coil_2000,SMOTE,5,ADVANCED,0.19516883768611112,0.06503005978039625
coil_2000,SMOTE,5,BASIC,0.1928610443865741,0.057084710942731154
